id,immOpt,delOpt,delay,task,p_imm
1,-0.4612174911537865,1.0,1.0,reward,0.3
2,1.0,1.0,1.0,reward,0.5
3,2.4612174911537865,1.0,1.0,reward,0.7
4,-0.4612174911537865,1.0,2.0,reward,0.3
5,1.0,1.0,2.0,reward,0.5
6,2.4612174911537865,1.0,2.0,reward,0.7
7,-0.4612174911537865,1.0,3.0,reward,0.3
8,1.0,1.0,3.0,reward,0.5
9,2.4612174911537865,1.0,3.0,reward,0.7
10,-0.4612174911537865,1.0,5.0,reward,0.3
11,1.0,1.0,5.0,reward,0.5
12,2.4612174911537865,1.0,5.0,reward,0.7
13,-0.4612174911537865,1.0,10.0,reward,0.3
14,1.0,1.0,10.0,reward,0.5
15,2.4612174911537865,1.0,10.0,reward,0.7
16,-0.4612174911537865,1.0,20.0,reward,0.3
17,1.0,1.0,20.0,reward,0.5
18,2.4612174911537865,1.0,20.0,reward,0.7
19,-0.4612174911537865,1.0,50.0,reward,0.3
20,1.0,1.0,50.0,reward,0.5
21,2.4612174911537865,1.0,50.0,reward,0.7
22,3.5387825088462135,5.0,1.0,reward,0.3
23,5.0,5.0,1.0,reward,0.5
24,6.4612174911537865,5.0,1.0,reward,0.7
25,3.5387825088462135,5.0,2.0,reward,0.3
26,5.0,5.0,2.0,reward,0.5
27,6.4612174911537865,5.0,2.0,reward,0.7
28,3.5387825088462135,5.0,3.0,reward,0.3
29,5.0,5.0,3.0,reward,0.5
30,6.4612174911537865,5.0,3.0,reward,0.7
31,3.5387825088462135,5.0,5.0,reward,0.3
32,5.0,5.0,5.0,reward,0.5
33,6.4612174911537865,5.0,5.0,reward,0.7
34,3.5387825088462135,5.0,10.0,reward,0.3
35,5.0,5.0,10.0,reward,0.5
36,6.4612174911537865,5.0,10.0,reward,0.7
37,3.5387825088462135,5.0,20.0,reward,0.3
38,5.0,5.0,20.0,reward,0.5
39,6.4612174911537865,5.0,20.0,reward,0.7
40,3.5387825088462135,5.0,50.0,reward,0.3
41,5.0,5.0,50.0,reward,0.5
42,6.4612174911537865,5.0,50.0,reward,0.7
43,8.538782508846214,10.0,1.0,reward,0.3
44,10.0,10.0,1.0,reward,0.5
45,11.461217491153786,10.0,1.0,reward,0.7
46,8.538782508846214,10.0,2.0,reward,0.3
47,10.0,10.0,2.0,reward,0.5
48,11.461217491153786,10.0,2.0,reward,0.7
49,8.538782508846214,10.0,3.0,reward,0.3
50,10.0,10.0,3.0,reward,0.5
51,11.461217491153786,10.0,3.0,reward,0.7
52,8.538782508846214,10.0,5.0,reward,0.3
53,10.0,10.0,5.0,reward,0.5
54,11.461217491153786,10.0,5.0,reward,0.7
55,8.538782508846214,10.0,10.0,reward,0.3
56,10.0,10.0,10.0,reward,0.5
57,11.461217491153786,10.0,10.0,reward,0.7
58,8.538782508846214,10.0,20.0,reward,0.3
59,10.0,10.0,20.0,reward,0.5
60,11.461217491153786,10.0,20.0,reward,0.7
61,8.538782508846214,10.0,50.0,reward,0.3
62,10.0,10.0,50.0,reward,0.5
63,11.461217491153786,10.0,50.0,reward,0.7
64,13.538782508846214,15.0,1.0,reward,0.3
65,15.0,15.0,1.0,reward,0.5
66,16.461217491153786,15.0,1.0,reward,0.7
67,13.538782508846214,15.0,2.0,reward,0.3
68,15.0,15.0,2.0,reward,0.5
69,16.461217491153786,15.0,2.0,reward,0.7
70,13.538782508846214,15.0,3.0,reward,0.3
71,15.0,15.0,3.0,reward,0.5
72,16.461217491153786,15.0,3.0,reward,0.7
73,13.538782508846214,15.0,5.0,reward,0.3
74,15.0,15.0,5.0,reward,0.5
75,16.461217491153786,15.0,5.0,reward,0.7
76,13.538782508846214,15.0,10.0,reward,0.3
77,15.0,15.0,10.0,reward,0.5
78,16.461217491153786,15.0,10.0,reward,0.7
79,13.538782508846214,15.0,20.0,reward,0.3
80,15.0,15.0,20.0,reward,0.5
81,16.461217491153786,15.0,20.0,reward,0.7
82,13.538782508846214,15.0,50.0,reward,0.3
83,15.0,15.0,50.0,reward,0.5
84,16.461217491153786,15.0,50.0,reward,0.7
85,18.538782508846214,20.0,1.0,reward,0.3
86,20.0,20.0,1.0,reward,0.5
87,21.461217491153786,20.0,1.0,reward,0.7
88,18.538782508846214,20.0,2.0,reward,0.3
89,20.0,20.0,2.0,reward,0.5
90,21.461217491153786,20.0,2.0,reward,0.7
91,18.538782508846214,20.0,3.0,reward,0.3
92,20.0,20.0,3.0,reward,0.5
93,21.461217491153786,20.0,3.0,reward,0.7
94,18.538782508846214,20.0,5.0,reward,0.3
95,20.0,20.0,5.0,reward,0.5
96,21.461217491153786,20.0,5.0,reward,0.7
97,18.538782508846214,20.0,10.0,reward,0.3
98,20.0,20.0,10.0,reward,0.5
99,21.461217491153786,20.0,10.0,reward,0.7
100,18.538782508846214,20.0,20.0,reward,0.3
101,20.0,20.0,20.0,reward,0.5
102,21.461217491153786,20.0,20.0,reward,0.7
103,18.538782508846214,20.0,50.0,reward,0.3
104,20.0,20.0,50.0,reward,0.5
105,21.461217491153786,20.0,50.0,reward,0.7
106,0.9701156474980255,1.0,1.0,loss,0.3
107,1.0,1.0,1.0,loss,0.5
108,1.0298843525019745,1.0,1.0,loss,0.7
109,0.9701156474980255,1.0,2.0,loss,0.3
110,1.0,1.0,2.0,loss,0.5
111,1.0298843525019745,1.0,2.0,loss,0.7
112,0.9701156474980255,1.0,3.0,loss,0.3
113,1.0,1.0,3.0,loss,0.5
114,1.0298843525019745,1.0,3.0,loss,0.7
115,0.9701156474980255,1.0,5.0,loss,0.3
116,1.0,1.0,5.0,loss,0.5
117,1.0298843525019745,1.0,5.0,loss,0.7
118,0.9701156474980255,1.0,10.0,loss,0.3
119,1.0,1.0,10.0,loss,0.5
120,1.0298843525019745,1.0,10.0,loss,0.7
121,0.9701156474980255,1.0,20.0,loss,0.3
122,1.0,1.0,20.0,loss,0.5
123,1.0298843525019745,1.0,20.0,loss,0.7
124,0.9701156474980255,1.0,50.0,loss,0.3
125,1.0,1.0,50.0,loss,0.5
126,1.0298843525019745,1.0,50.0,loss,0.7
127,4.970115647498026,5.0,1.0,loss,0.3
128,5.0,5.0,1.0,loss,0.5
129,5.029884352501974,5.0,1.0,loss,0.7
130,4.970115647498026,5.0,2.0,loss,0.3
131,5.0,5.0,2.0,loss,0.5
132,5.029884352501974,5.0,2.0,loss,0.7
133,4.970115647498026,5.0,3.0,loss,0.3
134,5.0,5.0,3.0,loss,0.5
135,5.029884352501974,5.0,3.0,loss,0.7
136,4.970115647498026,5.0,5.0,loss,0.3
137,5.0,5.0,5.0,loss,0.5
138,5.029884352501974,5.0,5.0,loss,0.7
139,4.970115647498026,5.0,10.0,loss,0.3
140,5.0,5.0,10.0,loss,0.5
141,5.029884352501974,5.0,10.0,loss,0.7
142,4.970115647498026,5.0,20.0,loss,0.3
143,5.0,5.0,20.0,loss,0.5
144,5.029884352501974,5.0,20.0,loss,0.7
145,4.970115647498026,5.0,50.0,loss,0.3
146,5.0,5.0,50.0,loss,0.5
147,5.029884352501974,5.0,50.0,loss,0.7
148,9.970115647498025,10.0,1.0,loss,0.3
149,10.0,10.0,1.0,loss,0.5
150,10.029884352501975,10.0,1.0,loss,0.7
151,9.970115647498025,10.0,2.0,loss,0.3
152,10.0,10.0,2.0,loss,0.5
153,10.029884352501975,10.0,2.0,loss,0.7
154,9.970115647498025,10.0,3.0,loss,0.3
155,10.0,10.0,3.0,loss,0.5
156,10.029884352501975,10.0,3.0,loss,0.7
157,9.970115647498025,10.0,5.0,loss,0.3
158,10.0,10.0,5.0,loss,0.5
159,10.029884352501975,10.0,5.0,loss,0.7
160,9.970115647498025,10.0,10.0,loss,0.3
161,10.0,10.0,10.0,loss,0.5
162,10.029884352501975,10.0,10.0,loss,0.7
163,9.970115647498025,10.0,20.0,loss,0.3
164,10.0,10.0,20.0,loss,0.5
165,10.029884352501975,10.0,20.0,loss,0.7
