id,immOpt,delOpt,delay,task,p_imm
1,0.08243611230521888,1.0,1.0,reward,0.3
2,0.09090909090909091,1.0,1.0,reward,0.5
3,0.09938206951296294,1.0,1.0,reward,0.7
4,0.03914606901517558,1.0,2.0,reward,0.3
5,0.047619047619047616,1.0,2.0,reward,0.5
6,0.05609202622291965,1.0,2.0,reward,0.7
7,0.023785085912256997,1.0,3.0,reward,0.3
8,0.03225806451612903,1.0,3.0,reward,0.5
9,0.040731043120001066,1.0,3.0,reward,0.7
10,0.011134864533382867,1.0,5.0,reward,0.3
11,0.0196078431372549,1.0,5.0,reward,0.5
12,0.028080821741126936,1.0,5.0,reward,0.7
13,0.0014280114951378663,1.0,10.0,reward,0.3
14,0.009900990099009901,1.0,10.0,reward,0.5
15,0.018373968702881938,1.0,10.0,reward,0.7
16,-0.003497854225762582,1.0,20.0,reward,0.3
17,0.004975124378109453,1.0,20.0,reward,0.5
18,0.013448102981981487,1.0,20.0,reward,0.7
19,-0.006476970619840099,1.0,50.0,reward,0.3
20,0.001996007984031936,1.0,50.0,reward,0.5
21,0.010468986587903972,1.0,50.0,reward,0.7
22,0.44607247594158256,5.0,1.0,reward,0.3
23,0.4545454545454546,5.0,1.0,reward,0.5
24,0.4630184331493266,5.0,1.0,reward,0.7
25,0.22962225949136605,5.0,2.0,reward,0.3
26,0.23809523809523808,5.0,2.0,reward,0.5
27,0.2465682166991101,5.0,2.0,reward,0.7
28,0.15281734397677313,5.0,3.0,reward,0.3
29,0.16129032258064516,5.0,3.0,reward,0.5
30,0.16976330118451718,5.0,3.0,reward,0.7
31,0.08956623708240247,5.0,5.0,reward,0.3
32,0.09803921568627451,5.0,5.0,reward,0.5
33,0.10651219429014655,5.0,5.0,reward,0.7
34,0.04103197189117747,5.0,10.0,reward,0.3
35,0.04950495049504951,5.0,10.0,reward,0.5
36,0.05797792909892154,5.0,10.0,reward,0.7
37,0.016402643286675227,5.0,20.0,reward,0.3
38,0.02487562189054726,5.0,20.0,reward,0.5
39,0.033348600494419296,5.0,20.0,reward,0.7
40,0.0015070613162876459,5.0,50.0,reward,0.3
41,0.00998003992015968,5.0,50.0,reward,0.5
42,0.018453018524031715,5.0,50.0,reward,0.7
43,0.9006179304870371,10.0,1.0,reward,0.3
44,0.9090909090909092,10.0,1.0,reward,0.5
45,0.9175638876947813,10.0,1.0,reward,0.7
46,0.46771749758660414,10.0,2.0,reward,0.3
47,0.47619047619047616,10.0,2.0,reward,0.5
48,0.4846634547943482,10.0,2.0,reward,0.7
49,0.3141076665574183,10.0,3.0,reward,0.3
50,0.3225806451612903,10.0,3.0,reward,0.5
51,0.33105362376516234,10.0,3.0,reward,0.7
52,0.187605452768677,10.0,5.0,reward,0.3
53,0.19607843137254902,10.0,5.0,reward,0.5
54,0.20455140997642104,10.0,5.0,reward,0.7
55,0.09053692238622699,10.0,10.0,reward,0.3
56,0.09900990099009901,10.0,10.0,reward,0.5
57,0.10748287959397104,10.0,10.0,reward,0.7
58,0.04127826517722249,10.0,20.0,reward,0.3
59,0.04975124378109452,10.0,20.0,reward,0.5
60,0.05822422238496656,10.0,20.0,reward,0.7
61,0.011487101236447327,10.0,50.0,reward,0.3
62,0.01996007984031936,10.0,50.0,reward,0.5
63,0.028433058444191396,10.0,50.0,reward,0.7
64,1.3551633850324918,15.0,1.0,reward,0.3
65,1.3636363636363638,15.0,1.0,reward,0.5
66,1.3721093422402357,15.0,1.0,reward,0.7
67,0.7058127356818421,15.0,2.0,reward,0.3
68,0.7142857142857142,15.0,2.0,reward,0.5
69,0.7227586928895863,15.0,2.0,reward,0.7
70,0.47539798913806347,15.0,3.0,reward,0.3
71,0.4838709677419355,15.0,3.0,reward,0.5
72,0.4923439463458075,15.0,3.0,reward,0.7
73,0.2856446684549515,15.0,5.0,reward,0.3
74,0.29411764705882354,15.0,5.0,reward,0.5
75,0.30259062566269557,15.0,5.0,reward,0.7
76,0.14004187288127648,15.0,10.0,reward,0.3
77,0.1485148514851485,15.0,10.0,reward,0.5
78,0.15698783008902054,15.0,10.0,reward,0.7
79,0.06615388706776976,15.0,20.0,reward,0.3
80,0.07462686567164178,15.0,20.0,reward,0.5
81,0.08309984427551381,15.0,20.0,reward,0.7
82,0.021467141156607004,15.0,50.0,reward,0.3
83,0.02994011976047904,15.0,50.0,reward,0.5
84,0.03841309836435107,15.0,50.0,reward,0.7
85,1.8097088395779464,20.0,1.0,reward,0.3
86,1.8181818181818183,20.0,1.0,reward,0.5
87,1.8266547967856903,20.0,1.0,reward,0.7
88,0.9439079737770802,20.0,2.0,reward,0.3
89,0.9523809523809523,20.0,2.0,reward,0.5
90,0.9608539309848244,20.0,2.0,reward,0.7
91,0.6366883117187085,20.0,3.0,reward,0.3
92,0.6451612903225806,20.0,3.0,reward,0.5
93,0.6536342689264527,20.0,3.0,reward,0.7
94,0.383683884141226,20.0,5.0,reward,0.3
95,0.39215686274509803,20.0,5.0,reward,0.5
96,0.40062984134897006,20.0,5.0,reward,0.7
97,0.189546823376326,20.0,10.0,reward,0.3
98,0.19801980198019803,20.0,10.0,reward,0.5
99,0.20649278058407006,20.0,10.0,reward,0.7
100,0.09102950895831702,20.0,20.0,reward,0.3
101,0.09950248756218905,20.0,20.0,reward,0.5
102,0.10797546616606107,20.0,20.0,reward,0.7
103,0.03144718107676669,20.0,50.0,reward,0.3
104,0.03992015968063872,20.0,50.0,reward,0.5
105,0.04839313828451076,20.0,50.0,reward,0.7
106,0.9868142163857643,1.0,1.0,loss,0.3
107,1.0,1.0,1.0,loss,0.5
108,1.0131857836142357,1.0,1.0,loss,0.7
109,0.9868142163857643,1.0,2.0,loss,0.3
110,1.0,1.0,2.0,loss,0.5
111,1.0131857836142357,1.0,2.0,loss,0.7
112,0.9868142163857643,1.0,3.0,loss,0.3
113,1.0,1.0,3.0,loss,0.5
114,1.0131857836142357,1.0,3.0,loss,0.7
115,0.9868142163857643,1.0,5.0,loss,0.3
116,1.0,1.0,5.0,loss,0.5
117,1.0131857836142357,1.0,5.0,loss,0.7
118,0.9868142163857643,1.0,10.0,loss,0.3
119,1.0,1.0,10.0,loss,0.5
120,1.0131857836142357,1.0,10.0,loss,0.7
121,0.9868142163857643,1.0,20.0,loss,0.3
122,1.0,1.0,20.0,loss,0.5
123,1.0131857836142357,1.0,20.0,loss,0.7
124,0.9868142163857643,1.0,50.0,loss,0.3
125,1.0,1.0,50.0,loss,0.5
126,1.0131857836142357,1.0,50.0,loss,0.7
127,4.986814216385764,5.0,1.0,loss,0.3
128,5.0,5.0,1.0,loss,0.5
129,5.013185783614236,5.0,1.0,loss,0.7
130,4.986814216385764,5.0,2.0,loss,0.3
131,5.0,5.0,2.0,loss,0.5
132,5.013185783614236,5.0,2.0,loss,0.7
133,4.986814216385764,5.0,3.0,loss,0.3
134,5.0,5.0,3.0,loss,0.5
135,5.013185783614236,5.0,3.0,loss,0.7
136,4.986814216385764,5.0,5.0,loss,0.3
137,5.0,5.0,5.0,loss,0.5
138,5.013185783614236,5.0,5.0,loss,0.7
139,4.986814216385764,5.0,10.0,loss,0.3
140,5.0,5.0,10.0,loss,0.5
141,5.013185783614236,5.0,10.0,loss,0.7
142,4.986814216385764,5.0,20.0,loss,0.3
143,5.0,5.0,20.0,loss,0.5
144,5.013185783614236,5.0,20.0,loss,0.7
145,4.986814216385764,5.0,50.0,loss,0.3
146,5.0,5.0,50.0,loss,0.5
147,5.013185783614236,5.0,50.0,loss,0.7
148,9.986814216385763,10.0,1.0,loss,0.3
149,10.0,10.0,1.0,loss,0.5
150,10.013185783614237,10.0,1.0,loss,0.7
151,9.986814216385763,10.0,2.0,loss,0.3
152,10.0,10.0,2.0,loss,0.5
153,10.013185783614237,10.0,2.0,loss,0.7
154,9.986814216385763,10.0,3.0,loss,0.3
155,10.0,10.0,3.0,loss,0.5
156,10.013185783614237,10.0,3.0,loss,0.7
157,9.986814216385763,10.0,5.0,loss,0.3
158,10.0,10.0,5.0,loss,0.5
159,10.013185783614237,10.0,5.0,loss,0.7
160,9.986814216385763,10.0,10.0,loss,0.3
161,10.0,10.0,10.0,loss,0.5
162,10.013185783614237,10.0,10.0,loss,0.7
163,9.986814216385763,10.0,20.0,loss,0.3
164,10.0,10.0,20.0,loss,0.5
165,10.013185783614237,10.0,20.0,loss,0.7
166,9.986814216385763,10.0,50.0,loss,0.3
167,10.0,10.0,50.0,loss,0.5
168,10.013185783614237,10.0,50.0,loss,0.7
169,14.986814216385763,15.0,1.0,loss,0.3
170,15.0,15.0,1.0,loss,0.5
171,15.013185783614237,15.0,1.0,loss,0.7
172,14.986814216385763,15.0,2.0,loss,0.3
173,15.0,15.0,2.0,loss,0.5
174,15.013185783614237,15.0,2.0,loss,0.7
175,14.986814216385763,15.0,3.0,loss,0.3
176,15.0,15.0,3.0,loss,0.5
177,15.013185783614237,15.0,3.0,loss,0.7
178,14.986814216385763,15.0,5.0,loss,0.3
179,15.0,15.0,5.0,loss,0.5
180,15.013185783614237,15.0,5.0,loss,0.7
181,14.986814216385763,15.0,10.0,loss,0.3
182,15.0,15.0,10.0,loss,0.5
183,15.013185783614237,15.0,10.0,loss,0.7
184,14.986814216385763,15.0,20.0,loss,0.3
185,15.0,15.0,20.0,loss,0.5
186,15.013185783614237,15.0,20.0,loss,0.7
187,14.986814216385763,15.0,50.0,loss,0.3
188,15.0,15.0,50.0,loss,0.5
189,15.013185783614237,15.0,50.0,loss,0.7
190,19.986814216385763,20.0,1.0,loss,0.3
191,20.0,20.0,1.0,loss,0.5
192,20.013185783614237,20.0,1.0,loss,0.7
193,19.986814216385763,20.0,2.0,loss,0.3
194,20.0,20.0,2.0,loss,0.5
195,20.013185783614237,20.0,2.0,loss,0.7
196,19.986814216385763,20.0,3.0,loss,0.3
197,20.0,20.0,3.0,loss,0.5
198,20.013185783614237,20.0,3.0,loss,0.7
199,19.986814216385763,20.0,5.0,loss,0.3
200,20.0,20.0,5.0,loss,0.5
201,20.013185783614237,20.0,5.0,loss,0.7
202,19.986814216385763,20.0,10.0,loss,0.3
203,20.0,20.0,10.0,loss,0.5
204,20.013185783614237,20.0,10.0,loss,0.7
205,19.986814216385763,20.0,20.0,loss,0.3
206,20.0,20.0,20.0,loss,0.5
