"rt","key_press","immOpt","delOpt","delay","task","randomize","trial_type","trial_index","time_elapsed","internal_node_id","choice","timelineType"
"2187","80","0.91","1.00","10","reward","1","html-keyboard-response","20","19511","0.0-3.0-0.0","immediate","trial"
"3689","80","-13.33","-20.00","50","loss","1","html-keyboard-response","23","25531","0.0-3.0-0.1","immediate","trial"
"null","null","15.38","20.00","3","reward","1","html-keyboard-response","26","32860","0.0-3.0-0.2","","trial"
"3329","80","-0.16","-10.00","20","loss","0","html-keyboard-response","29","38517","0.0-3.0-0.3","delayed","trial"
"3252","80","625.00","10.00","50","reward","1","html-keyboard-response","32","44095","0.0-3.0-0.4","immediate","trial"
"1771","80","-1.25","-20.00","5","loss","1","html-keyboard-response","35","48193","0.0-3.0-0.5","immediate","trial"
"2778","81","19.80","20.00","1","reward","1","html-keyboard-response","38","53300","0.0-3.0-0.6","delayed","trial"
"2968","81","-3125.00","-5.00","2","loss","1","html-keyboard-response","41","58598","0.0-3.0-0.7","delayed","trial"
"3024","80","4.17","5.00","20","reward","1","html-keyboard-response","44","63950","0.0-3.0-0.8","immediate","trial"
"2976","81","-0.08","-5.00","20","loss","0","html-keyboard-response","47","69254","0.0-3.0-0.9","immediate","trial"
"3273","80","0.33","20.00","20","reward","0","html-keyboard-response","50","74854","0.0-3.0-0.10","delayed","trial"
"3900","81","2.50","5.00","10","reward","1","html-keyboard-response","53","81082","0.0-3.0-0.11","delayed","trial"
"3453","80","0.16","5.00","10","reward","0","html-keyboard-response","56","86862","0.0-3.0-0.12","delayed","trial"
"3016","81","2.00","5.00","3","reward","1","html-keyboard-response","59","92204","0.0-3.0-0.13","delayed","trial"
"2268","81","-2.50","-5.00","10","loss","0","html-keyboard-response","62","96800","0.0-3.0-0.14","immediate","trial"
"1101","80","3.33","10.00","20","reward","0","html-keyboard-response","65","100227","0.0-3.0-0.15","delayed","trial"
"1531","81","3125.00","5.00","2","reward","0","html-keyboard-response","68","104086","0.0-3.0-0.16","immediate","trial"
"2801","80","2.50","5.00","1","reward","0","html-keyboard-response","71","109216","0.0-3.0-0.17","delayed","trial"
"1769","80","-15.38","-20.00","3","loss","1","html-keyboard-response","74","113311","0.0-3.0-0.18","immediate","trial"
"2190","80","0.06","1.00","5","reward","0","html-keyboard-response","77","117830","0.0-3.0-0.19","delayed","trial"
"3441","81","-0.95","-20.00","20","loss","1","html-keyboard-response","80","123600","0.0-3.0-0.20","delayed","trial"
