"rt","key_press","immOpt","delOpt","delay","task","randomize","trial_type","trial_index","time_elapsed","internal_node_id","choice","timelineType"
"1345","81","-1.67","-5.00","20","loss","0","html-keyboard-response","20","18540","0.0-3.0-0.0","immediate","trial"
"1762","81","-0.03","-5.00","50","loss","0","html-keyboard-response","23","22145","0.0-3.0-0.1","immediate","trial"
"2422","81","-0.45","-5.00","20","loss","0","html-keyboard-response","26","26436","0.0-3.0-0.2","immediate","trial"
"1716","80","1.25","5.00","3","reward","0","html-keyboard-response","29","30009","0.0-3.0-0.3","delayed","trial"
"1701","80","0.17","1.00","5","reward","1","html-keyboard-response","32","33574","0.0-3.0-0.4","immediate","trial"
"2097","80","-6.67","-10.00","1","loss","1","html-keyboard-response","35","37530","0.0-3.0-0.5","immediate","trial"
"1870","80","9.90","10.00","1","reward","1","html-keyboard-response","38","41254","0.0-3.0-0.6","immediate","trial"
"2923","81","3.33","20.00","5","reward","1","html-keyboard-response","41","46027","0.0-3.0-0.7","delayed","trial"
"1784","81","9.52","10.00","5","reward","0","html-keyboard-response","44","49657","0.0-3.0-0.8","immediate","trial"
"2716","81","-1.67","-10.00","5","loss","0","html-keyboard-response","47","54219","0.0-3.0-0.9","immediate","trial"
"2044","81","-0.24","-5.00","20","loss","0","html-keyboard-response","50","58106","0.0-3.0-0.10","immediate","trial"
"1849","80","-0.31","-5.00","5","loss","1","html-keyboard-response","53","61812","0.0-3.0-0.11","immediate","trial"
"1908","81","18.18","20.00","10","reward","0","html-keyboard-response","56","65579","0.0-3.0-0.12","immediate","trial"
"3174","80","-10.00","-20.00","2","loss","1","html-keyboard-response","59","70607","0.0-3.0-0.13","immediate","trial"
"2670","80","1.67","10.00","50","reward","0","html-keyboard-response","62","75123","0.0-3.0-0.14","delayed","trial"
"2745","81","0.05","1.00","20","reward","0","html-keyboard-response","65","79729","0.0-3.0-0.15","immediate","trial"
"2483","81","1.43","5.00","5","reward","1","html-keyboard-response","68","84055","0.0-3.0-0.16","delayed","trial"
"1732","80","-4.17","-5.00","20","loss","0","html-keyboard-response","71","87634","0.0-3.0-0.17","delayed","trial"
"1850","80","0.03","5.00","50","reward","0","html-keyboard-response","74","91343","0.0-3.0-0.18","delayed","trial"
"2426","80","2.63","5.00","3","reward","1","html-keyboard-response","77","95629","0.0-3.0-0.19","immediate","trial"
"2030","80","-5.00","-10.00","2","loss","1","html-keyboard-response","80","99523","0.0-3.0-0.20","immediate","trial"
