id,immOpt,delOpt,delay,task,p_imm
1,-1.9099324240305666,1.0,1.0,reward,0.3
2,1.0,1.0,1.0,reward,0.5
3,3.909932424030566,1.0,1.0,reward,0.7
4,-1.9099324240305666,1.0,2.0,reward,0.3
5,1.0,1.0,2.0,reward,0.5
6,3.909932424030566,1.0,2.0,reward,0.7
7,-1.9099324240305666,1.0,3.0,reward,0.3
8,1.0,1.0,3.0,reward,0.5
9,3.909932424030566,1.0,3.0,reward,0.7
10,-1.9099324240305666,1.0,5.0,reward,0.3
11,1.0,1.0,5.0,reward,0.5
12,3.909932424030566,1.0,5.0,reward,0.7
13,-1.9099324240305666,1.0,10.0,reward,0.3
14,1.0,1.0,10.0,reward,0.5
15,3.909932424030566,1.0,10.0,reward,0.7
16,-1.9099324240305666,1.0,20.0,reward,0.3
17,1.0,1.0,20.0,reward,0.5
18,3.909932424030566,1.0,20.0,reward,0.7
19,-1.9099324240305666,1.0,50.0,reward,0.3
20,1.0,1.0,50.0,reward,0.5
21,3.909932424030566,1.0,50.0,reward,0.7
22,2.0900675759694334,5.0,1.0,reward,0.3
23,5.0,5.0,1.0,reward,0.5
24,7.909932424030567,5.0,1.0,reward,0.7
25,2.0900675759694334,5.0,2.0,reward,0.3
26,5.0,5.0,2.0,reward,0.5
27,7.909932424030567,5.0,2.0,reward,0.7
28,2.0900675759694334,5.0,3.0,reward,0.3
29,5.0,5.0,3.0,reward,0.5
30,7.909932424030567,5.0,3.0,reward,0.7
31,2.0900675759694334,5.0,5.0,reward,0.3
32,5.0,5.0,5.0,reward,0.5
33,7.909932424030567,5.0,5.0,reward,0.7
34,2.0900675759694334,5.0,10.0,reward,0.3
35,5.0,5.0,10.0,reward,0.5
36,7.909932424030567,5.0,10.0,reward,0.7
37,2.0900675759694334,5.0,20.0,reward,0.3
38,5.0,5.0,20.0,reward,0.5
39,7.909932424030567,5.0,20.0,reward,0.7
40,2.0900675759694334,5.0,50.0,reward,0.3
41,5.0,5.0,50.0,reward,0.5
42,7.909932424030567,5.0,50.0,reward,0.7
43,7.090067575969433,10.0,1.0,reward,0.3
44,10.0,10.0,1.0,reward,0.5
45,12.909932424030567,10.0,1.0,reward,0.7
46,7.090067575969433,10.0,2.0,reward,0.3
47,10.0,10.0,2.0,reward,0.5
48,12.909932424030567,10.0,2.0,reward,0.7
49,7.090067575969433,10.0,3.0,reward,0.3
50,10.0,10.0,3.0,reward,0.5
51,12.909932424030567,10.0,3.0,reward,0.7
52,7.090067575969433,10.0,5.0,reward,0.3
53,10.0,10.0,5.0,reward,0.5
54,12.909932424030567,10.0,5.0,reward,0.7
55,7.090067575969433,10.0,10.0,reward,0.3
56,10.0,10.0,10.0,reward,0.5
57,12.909932424030567,10.0,10.0,reward,0.7
58,7.090067575969433,10.0,20.0,reward,0.3
59,10.0,10.0,20.0,reward,0.5
60,12.909932424030567,10.0,20.0,reward,0.7
61,7.090067575969433,10.0,50.0,reward,0.3
62,10.0,10.0,50.0,reward,0.5
63,12.909932424030567,10.0,50.0,reward,0.7
64,12.090067575969433,15.0,1.0,reward,0.3
65,15.0,15.0,1.0,reward,0.5
66,17.909932424030565,15.0,1.0,reward,0.7
67,12.090067575969433,15.0,2.0,reward,0.3
68,15.0,15.0,2.0,reward,0.5
69,17.909932424030565,15.0,2.0,reward,0.7
70,12.090067575969433,15.0,3.0,reward,0.3
71,15.0,15.0,3.0,reward,0.5
72,17.909932424030565,15.0,3.0,reward,0.7
73,12.090067575969433,15.0,5.0,reward,0.3
74,15.0,15.0,5.0,reward,0.5
75,17.909932424030565,15.0,5.0,reward,0.7
76,12.090067575969433,15.0,10.0,reward,0.3
77,15.0,15.0,10.0,reward,0.5
78,17.909932424030565,15.0,10.0,reward,0.7
79,12.090067575969433,15.0,20.0,reward,0.3
80,15.0,15.0,20.0,reward,0.5
81,17.909932424030565,15.0,20.0,reward,0.7
82,12.090067575969433,15.0,50.0,reward,0.3
83,15.0,15.0,50.0,reward,0.5
84,17.909932424030565,15.0,50.0,reward,0.7
85,17.090067575969435,20.0,1.0,reward,0.3
86,20.0,20.0,1.0,reward,0.5
87,22.909932424030565,20.0,1.0,reward,0.7
88,17.090067575969435,20.0,2.0,reward,0.3
89,20.0,20.0,2.0,reward,0.5
90,22.909932424030565,20.0,2.0,reward,0.7
91,17.090067575969435,20.0,3.0,reward,0.3
92,20.0,20.0,3.0,reward,0.5
93,22.909932424030565,20.0,3.0,reward,0.7
94,17.090067575969435,20.0,5.0,reward,0.3
95,20.0,20.0,5.0,reward,0.5
96,22.909932424030565,20.0,5.0,reward,0.7
97,17.090067575969435,20.0,10.0,reward,0.3
98,20.0,20.0,10.0,reward,0.5
99,22.909932424030565,20.0,10.0,reward,0.7
100,17.090067575969435,20.0,20.0,reward,0.3
101,20.0,20.0,20.0,reward,0.5
102,22.909932424030565,20.0,20.0,reward,0.7
103,17.090067575969435,20.0,50.0,reward,0.3
104,20.0,20.0,50.0,reward,0.5
105,22.909932424030565,20.0,50.0,reward,0.7
106,0.667729021491828,1.0,1.0,loss,0.3
107,0.6799403883462709,1.0,1.0,loss,0.5
108,0.6921517552007138,1.0,1.0,loss,0.7
109,0.5028717266237849,1.0,2.0,loss,0.3
110,0.5150830934782278,1.0,2.0,loss,0.5
111,0.5272944603326707,1.0,2.0,loss,0.7
112,0.40235629303500436,1.0,3.0,loss,0.3
113,0.4145676598894473,1.0,3.0,loss,0.5
114,0.4267790267438903,1.0,3.0,loss,0.7
115,0.28597691663655034,1.0,5.0,loss,0.3
116,0.2981882834909933,1.0,5.0,loss,0.5
117,0.31039965034543626,1.0,5.0,loss,0.7
118,0.1630067730833162,1.0,10.0,loss,0.3
119,0.17521813993775917,1.0,10.0,loss,0.5
120,0.1874295067922021,1.0,10.0,loss,0.7
121,0.08381005015579779,1.0,20.0,loss,0.3
122,0.09602141701024074,1.0,20.0,loss,0.5
123,0.10823278386468368,1.0,20.0,loss,0.7
124,0.028545308162293073,1.0,50.0,loss,0.3
125,0.04075667501673602,1.0,50.0,loss,0.5
126,0.05296804187117897,1.0,50.0,loss,0.7
127,3.3874905748769115,5.0,1.0,loss,0.3
128,3.3997019417313545,5.0,1.0,loss,0.5
129,3.4119133085857976,5.0,1.0,loss,0.7
130,2.5632041005366957,5.0,2.0,loss,0.3
131,2.5754154673911387,5.0,2.0,loss,0.5
132,2.5876268342455817,5.0,2.0,loss,0.7
133,2.0606269325927937,5.0,3.0,loss,0.3
134,2.0728382994472367,5.0,3.0,loss,0.5
135,2.0850496663016798,5.0,3.0,loss,0.7
136,1.4787300506005234,5.0,5.0,loss,0.3
137,1.4909414174549664,5.0,5.0,loss,0.5
138,1.5031527843094095,5.0,5.0,loss,0.7
139,0.8638793328343529,5.0,10.0,loss,0.3
140,0.8760906996887958,5.0,10.0,loss,0.5
141,0.8883020665432387,5.0,10.0,loss,0.7
142,0.46789571819676073,5.0,20.0,loss,0.3
143,0.4801070850512037,5.0,20.0,loss,0.5
