"rt","key_press","immOpt","delOpt","delay","task","randomize","trial_type","trial_index","time_elapsed","internal_node_id","choice","timelineType"
"4824.894999968819","81","-625.00","-10.00","50","loss","1","html-keyboard-response","20","81953","0.0-3.0-0.0","delayed","trial"
"2919.789999956265","81","0.50","5.00","3","reward","0","html-keyboard-response","23","86610","0.0-3.0-0.1","immediate","trial"
"3445.339999976568","80","-0.77","-1.00","1","loss","0","html-keyboard-response","26","91785","0.0-3.0-0.2","delayed","trial"
"4392.350000038277","81","18.18","20.00","10","reward","1","html-keyboard-response","29","97916","0.0-3.0-0.3","delayed","trial"
"2744.1499999840744","81","0.07","10.00","50","reward","0","html-keyboard-response","32","102393","0.0-3.0-0.4","immediate","trial"
"4203.730000008363","80","-5.00","-10.00","1","loss","1","html-keyboard-response","35","108334","0.0-3.0-0.5","immediate","trial"
"4847.420000005513","80","19.42","20.00","3","reward","0","html-keyboard-response","38","114915","0.0-3.0-0.6","delayed","trial"
"2810.5799999902956","81","-5.00","-20.00","10","loss","0","html-keyboard-response","41","119459","0.0-3.0-0.7","immediate","trial"
"4034.0999999898486","81","10.53","20.00","3","reward","0","html-keyboard-response","44","125231","0.0-3.0-0.8","immediate","trial"
"3106.610000017099","80","0.33","1.00","20","reward","1","html-keyboard-response","47","130068","0.0-3.0-0.9","immediate","trial"
"4926.969999971334","80","-19.80","-20.00","1","loss","0","html-keyboard-response","50","136728","0.0-3.0-0.10","delayed","trial"
"4212.860000028741","80","0.02","1.00","50","reward","1","html-keyboard-response","53","142679","0.0-3.0-0.11","immediate","trial"
"null","null","625.00","10.00","50","reward","1","html-keyboard-response","56","149414","0.0-3.0-0.12","","trial"
"4342.149999982212","81","1.25","20.00","50","reward","1","html-keyboard-response","59","155492","0.0-3.0-0.13","delayed","trial"
"null","null","-3.33","-5.00","50","loss","0","html-keyboard-response","62","162231","0.0-3.0-0.14","","trial"
"3056.0650000115857","80","0.67","1.00","1","reward","1","html-keyboard-response","65","167024","0.0-3.0-0.15","immediate","trial"
"2648.22000003187","80","4.85","5.00","3","reward","1","html-keyboard-response","68","171411","0.0-3.0-0.16","immediate","trial"
"2472.509999992326","80","4.76","5.00","5","reward","1","html-keyboard-response","71","175618","0.0-3.0-0.17","immediate","trial"
"3156.8049999768846","81","-2.50","-5.00","1","loss","0","html-keyboard-response","74","180511","0.0-3.0-0.18","immediate","trial"
"2856.8300000042655","80","-3.33","-20.00","10","loss","1","html-keyboard-response","77","185101","0.0-3.0-0.19","immediate","trial"
"3787.545000028331","80","6.25","10.00","2","reward","0","html-keyboard-response","80","190625","0.0-3.0-0.20","delayed","trial"
"3711.9800000218675","80","0.33","1.00","2","reward","0","html-keyboard-response","83","196070","0.0-3.0-0.21","delayed","trial"
"3192.589999991469","80","-3.85","-5.00","1","loss","1","html-keyboard-response","86","200998","0.0-3.0-0.22","immediate","trial"
"2031.5299999783747","81","-19.05","-20.00","5","loss","0","html-keyboard-response","89","204766","0.0-3.0-0.23","immediate","trial"
"2393.8750000088476","81","13.33","20.00","1","reward","1","html-keyboard-response","92","208894","0.0-3.0-0.24","delayed","trial"
"2633.2349999574944","81","-3.33","-5.00","5","loss","1","html-keyboard-response","95","213260","0.0-3.0-0.25","delayed","trial"
"3230.4650000296533","81","-4.76","-5.00","5","loss","1","html-keyboard-response","98","218221","0.0-3.0-0.26","delayed","trial"
"3483.944999985397","80","-2.86","-10.00","5","loss","1","html-keyboard-response","101","223441","0.0-3.0-0.27","immediate","trial"
"3273.6349999904633","80","-1.25","-5.00","10","loss","1","html-keyboard-response","104","228447","0.0-3.0-0.28","immediate","trial"
"2862.599999993108","80","-0.53","-1.00","3","loss","0","html-keyboard-response","107","233048","0.0-3.0-0.29","delayed","trial"
"2641.1450000014156","81","13.33","20.00","50","reward","0","html-keyboard-response","110","237424","0.0-3.0-0.30","immediate","trial"
"3360.6049999943934","80","0.83","5.00","10","reward","1","html-keyboard-response","113","242520","0.0-3.0-0.31","immediate","trial"
"null","null","-0.32","-10.00","10","loss","1","html-keyboard-response","116","249262","0.0-3.0-0.32","","trial"
