id,immOpt,delOpt,delay,task,p_imm
1,-inf,1.0,1.0,reward,0.3
2,,1.0,1.0,reward,0.5
3,inf,1.0,1.0,reward,0.7
4,-inf,1.0,2.0,reward,0.3
5,,1.0,2.0,reward,0.5
6,inf,1.0,2.0,reward,0.7
7,-inf,1.0,3.0,reward,0.3
8,,1.0,3.0,reward,0.5
9,inf,1.0,3.0,reward,0.7
10,-inf,1.0,5.0,reward,0.3
11,,1.0,5.0,reward,0.5
12,inf,1.0,5.0,reward,0.7
13,-inf,1.0,10.0,reward,0.3
14,,1.0,10.0,reward,0.5
15,inf,1.0,10.0,reward,0.7
16,-inf,1.0,20.0,reward,0.3
17,,1.0,20.0,reward,0.5
18,inf,1.0,20.0,reward,0.7
19,-inf,1.0,50.0,reward,0.3
20,,1.0,50.0,reward,0.5
21,inf,1.0,50.0,reward,0.7
22,-inf,5.0,1.0,reward,0.3
23,,5.0,1.0,reward,0.5
24,inf,5.0,1.0,reward,0.7
25,-inf,5.0,2.0,reward,0.3
26,,5.0,2.0,reward,0.5
27,inf,5.0,2.0,reward,0.7
28,-inf,5.0,3.0,reward,0.3
29,,5.0,3.0,reward,0.5
30,inf,5.0,3.0,reward,0.7
31,-inf,5.0,5.0,reward,0.3
32,,5.0,5.0,reward,0.5
33,inf,5.0,5.0,reward,0.7
34,-inf,5.0,10.0,reward,0.3
35,,5.0,10.0,reward,0.5
36,inf,5.0,10.0,reward,0.7
37,-inf,5.0,20.0,reward,0.3
38,,5.0,20.0,reward,0.5
39,inf,5.0,20.0,reward,0.7
40,-inf,5.0,50.0,reward,0.3
41,,5.0,50.0,reward,0.5
42,inf,5.0,50.0,reward,0.7
43,-inf,10.0,1.0,reward,0.3
44,,10.0,1.0,reward,0.5
45,inf,10.0,1.0,reward,0.7
46,-inf,10.0,2.0,reward,0.3
47,,10.0,2.0,reward,0.5
48,inf,10.0,2.0,reward,0.7
49,-inf,10.0,3.0,reward,0.3
50,,10.0,3.0,reward,0.5
51,inf,10.0,3.0,reward,0.7
52,-inf,10.0,5.0,reward,0.3
53,,10.0,5.0,reward,0.5
54,inf,10.0,5.0,reward,0.7
55,-inf,10.0,10.0,reward,0.3
56,,10.0,10.0,reward,0.5
57,inf,10.0,10.0,reward,0.7
58,-inf,10.0,20.0,reward,0.3
59,,10.0,20.0,reward,0.5
60,inf,10.0,20.0,reward,0.7
61,-inf,10.0,50.0,reward,0.3
62,,10.0,50.0,reward,0.5
63,inf,10.0,50.0,reward,0.7
64,-inf,15.0,1.0,reward,0.3
65,,15.0,1.0,reward,0.5
66,inf,15.0,1.0,reward,0.7
67,-inf,15.0,2.0,reward,0.3
68,,15.0,2.0,reward,0.5
69,inf,15.0,2.0,reward,0.7
70,-inf,15.0,3.0,reward,0.3
71,,15.0,3.0,reward,0.5
72,inf,15.0,3.0,reward,0.7
73,-inf,15.0,5.0,reward,0.3
